origin_district,origin_pcode,destination_district,destination_pcode,same_district,centroid_haversine_km,effective_distance_km,distance_1km_floor_km,distance_disk_proxy_km,destination_population_2022,origin_population_2022,intervening_population_2022,radiation_score_adapted,gravity_fixed_score_pop_over_d2,log_effective_distance_km,log_destination_population_2022
Shariatpur,BD3086,Natore,BD5069,False,184.23875556711104,184.23875556711104,184.23875556711104,184.23875556711104,1859922,1294562,113212843,0.00018069783745314338,54.79396757635527,5.216232501077498,14.436045109326196
Shariatpur,BD3086,Netrakona,BD4572,False,185.86818271415,185.86818271415,185.86818271415,185.86818271415,2324853,1294562,115072765,0.00021790399243460092,67.2954020715178,5.2250377273849145,14.659167369198306
Shariatpur,BD3086,Nilphamari,BD5573,False,343.08192578011375,343.08192578011375,343.08192578011375,343.08192578011375,2092568,1294562,159057748,0.00010399709103102583,17.77804091395084,5.837969269316545,14.553902577830893
Shariatpur,BD3086,Noakhali,BD2075,False,95.74797108387875,95.74797108387875,95.74797108387875,95.74797108387875,3625442,1294562,50430529,0.0016393087076088002,395.4593076910226,4.561719438111746,15.103486769872411
Shariatpur,BD3086,Pabna,BD5076,False,137.42797256037153,137.42797256037153,137.42797256037153,137.42797256037153,2909624,1294562,80512505,0.0005435004634111619,154.05882859205215,4.923099943932084,14.8835344211774
Shariatpur,BD3086,Panchagarh,BD5577,False,385.14154096724894,385.14154096724894,385.14154096724894,385.14154096724894,1179843,1294562,162684211,5.6397286350575585e-05,7.953961651906186,5.953610905601143,13.98089193674234
Shariatpur,BD3086,Patuakhali,BD1078,False,117.48259424936072,117.48259424936072,117.48259424936072,117.48259424936072,1727254,1294562,63166881,0.0005240771288098456,125.14374605583276,4.766290188563288,14.362043422168306
Shariatpur,BD3086,Pirojpur,BD1079,False,90.02605630570764,90.02605630570764,90.02605630570764,90.02605630570764,1198195,1294562,41384432,0.0008283185495054988,147.83969277845713,4.5000991429368895,13.996326815697198
Shariatpur,BD3086,Rajbari,BD3082,False,101.54206730923539,101.54206730923539,101.54206730923539,101.54206730923539,1189818,1294562,54055971,0.000492179002842395,115.39540952617388,4.620473168867199,13.989310912214547
Shariatpur,BD3086,Rajshahi,BD5081,False,224.22127163527873,224.22127163527873,224.22127163527873,224.22127163527873,2915009,1294562,130600035,0.00021223397593181202,57.98107690628896,5.412633384082476,14.885383465240523
Shariatpur,BD3086,Rangamati,BD2084,False,197.0135621780366,197.0135621780366,197.0135621780366,197.0135621780366,647586,1294562,117397618,5.918518610654375e-05,16.68419297011058,5.283272569911714,13.381006882269048
Shariatpur,BD3086,Rangpur,BD5585,False,292.2689820041731,292.2689820041731,292.2689820041731,292.2689820041731,3169614,1294562,151144492,0.00017298131769787897,37.10572509297721,5.677674549497592,14.9691203718778
Shariatpur,BD3086,Satkhira,BD4087,False,161.99514213946978,161.99514213946978,161.99514213946978,161.99514213946978,2196582,1294562,97548500,0.000284729376536653,83.70346528071225,5.087566347989375,14.602413073820426
Shariatpur,BD3086,Shariatpur,BD3086,True,0.0,18.67680082122059,1.0,17.584337821759714,1294562,1294562,0,0.5,3711.2300859174065,2.9272821558863513,14.073682971966935
Shariatpur,BD3086,Sherpur,BD4589,False,206.82454962939434,206.82454962939434,206.82454962939434,206.82454962939434,1501853,1294562,126402686,0.0001178444819458499,35.10938739798648,5.331870847529547,14.22221023700936
